#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=6
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6689
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.36877e-06;4.61843e-05;-6.15e-06
-4.36832e-06;3.01842e-05;-6.14902e-06
-4.36774e-06;0.000188639;-6.14805e-06
-4.3669e-06;0.000110781;-6.14707e-06
-4.36597e-06;3.90876e-05;-6.14609e-06
-4.36532e-06;-3.11714e-05;-6.14512e-06
-4.36443e-06;-1.18185e-05;-6.14414e-06
-4.36389e-06;0.000180779;-6.14316e-06
-4.36313e-06;-1.4687e-05;-6.14219e-06
-4.36234e-06;0.000118883;-6.14121e-06
-4.36159e-06;0.000106907;-6.14023e-06
-4.36061e-06;0.000188528;-6.13926e-06
-4.35967e-06;0.000232412;-6.13828e-06
-4.35892e-06;0.000198269;-6.1373e-06
-4.35843e-06;0.00019527;-6.13633e-06
-4.35732e-06;6.37677e-05;-6.13535e-06
-4.35651e-06;0.00017575;-6.13437e-06
-4.3557e-06;0.000192439;-6.1334e-06
-4.35516e-06;1.87289e-05;-6.13242e-06
-4.35419e-06;0.000138981;-6.13144e-06
-4.35346e-06;9.02172e-05;-6.13047e-06
-4.35277e-06;0.000113426;-6.12949e-06
-4.35156e-06;8.16863e-05;-6.12851e-06
-4.35091e-06;0.000135759;-6.12754e-06
-4.35013e-06;3.44869e-05;-6.12656e-06
-4.34896e-06;-1.65869e-05;-6.12558e-06
-4.34825e-06;2.06847e-05;-6.12461e-06
-4.34742e-06;0.000152672;-6.12363e-06
-4.3467e-06;0.000145352;-6.12265e-06
-4.34595e-06;6.12158e-05;-6.12168e-06
-4.34494e-06;0.000249213;-6.1207e-06
-4.34419e-06;0.000194618;-6.11972e-06
-4.34366e-06;0.000122646;-6.11875e-06
-4.34259e-06;0.00018212;-6.11777e-06
-4.34184e-06;0.000265175;-6.11679e-06
-4.3407e-06;0.000184337;-6.11581e-06
-4.34023e-06;0.00012775;-6.11484e-06
-4.33924e-06;0.000187112;-6.11386e-06
-4.33853e-06;0.000146003;-6.11288e-06
-4.33765e-06;0.000132872;-6.11191e-06
-4.33654e-06;0.000151442;-6.11093e-06
-4.3357e-06;5.6373e-05;-6.10995e-06
-4.33506e-06;5.79376e-05;-6.10898e-06
-4.33416e-06;0.000200244;-6.108e-06
-4.33364e-06;0.000160011;-6.10702e-06
-4.33259e-06;0.000170069;-6.10605e-06
-4.33174e-06;0.000122497;-6.10507e-06
-4.3308e-06;0.000137677;-6.10409e-06
-4.32992e-06;0.000135479;-6.10312e-06
-4.32921e-06;0.000100387;-6.10214e-06
-4.32858e-06;0.000115046;-6.10116e-06
-4.32745e-06;0.000117002;-6.10019e-06
-4.32692e-06;0.000173664;-6.09921e-06
-4.32592e-06;0.000221813;-6.09823e-06
-4.32511e-06;0.000263294;-6.09726e-06
-4.32425e-06;0.000292799;-6.09628e-06
-4.32328e-06;0.000461182;-6.0953e-06
-4.32224e-06;0.000401335;-6.09433e-06
-4.3214e-06;0.000293246;-6.09335e-06
-4.32056e-06;0.000350578;-6.09237e-06
-4.31975e-06;0.000333777;-6.0914e-06
-4.31887e-06;0.000274507;-6.09042e-06
-4.31799e-06;0.000251578;-6.08944e-06
-4.31757e-06;5.11948e-05;-6.08847e-06
-4.31676e-06;0.00021969;-6.08749e-06
-4.31572e-06;0.000222744;-6.08651e-06
-4.31513e-06;9.4818e-05;-6.08554e-06
-4.31407e-06;0.000153473;-6.08456e-06
-4.31338e-06;0.000231182;-6.08358e-06
-4.31267e-06;0.000282424;-6.08261e-06
-4.31151e-06;0.000265921;-6.08163e-06
-4.31057e-06;0.000284603;-6.08065e-06
-4.30985e-06;0.000348678;-6.07968e-06
-4.30891e-06;9.24896e-05;-6.0787e-06
-4.30795e-06;2.31061e-05;-6.07772e-06
-4.30711e-06;5.2033e-05;-6.07675e-06
-4.30619e-06;0.000121994;-6.07577e-06
-4.30562e-06;0.000323458;-6.07479e-06
-4.30463e-06;0.000282442;-6.07382e-06
-4.30384e-06;0.000156937;-6.07284e-06
-4.30299e-06;0.000263536;-6.07186e-06
-4.30218e-06;0.000265697;-6.07089e-06
-4.30133e-06;0.00032858;-6.06991e-06
-4.30031e-06;0.000383044;-6.06893e-06
-4.29972e-06;0.000409177;-6.06796e-06
-4.29882e-06;0.000346219;-6.06698e-06
-4.29786e-06;0.00030932;-6.066e-06
-4.29706e-06;0.000325674;-6.06503e-06
-4.29617e-06;0.000310419;-6.06405e-06
-4.29535e-06;0.000302838;-6.06307e-06
-4.29448e-06;0.000465;-6.0621e-06
-4.29371e-06;0.000260463;-6.06112e-06
-4.29265e-06;0.000207843;-6.06014e-06
-4.29192e-06;0.000264691;-6.05917e-06
-4.29117e-06;0.000302242;-6.05819e-06
-4.28996e-06;0.000433614;-6.05721e-06
-4.28939e-06;0.000472302;-6.05624e-06
-4.28841e-06;0.000426685;-6.05526e-06
-4.28741e-06;0.000382448;-6.05428e-06
-4.28658e-06;0.000345549;-6.0533e-06
-4.2853e-06;0.000337036;-6.05233e-06
-4.28506e-06;0.000289744;-6.05135e-06
-4.28413e-06;0.000263089;-6.05037e-06
-4.28325e-06;0.000288384;-6.0494e-06
-4.28251e-06;0.000276109;-6.04842e-06
-4.28157e-06;0.000328058;-6.04744e-06
-4.28072e-06;0.0003839;-6.04647e-06
-4.27969e-06;0.000324128;-6.04549e-06
-4.2788e-06;0.000180202;-6.04451e-06
-4.27808e-06;0.000317758;-6.04354e-06
-4.27691e-06;0.000276985;-6.04256e-06
-4.27612e-06;0.000224272;-6.04158e-06
-4.27527e-06;0.000320645;-6.04061e-06
-4.27481e-06;0.000465596;-6.03963e-06
-4.2739e-06;0.000381665;-6.03865e-06
-4.27296e-06;0.000336925;-6.03768e-06
-4.2722e-06;0.000377586;-6.0367e-06
-4.27138e-06;0.000279257;-6.03572e-06
-4.27042e-06;0.000421582;-6.03475e-06
-4.26961e-06;0.000417558;-6.03377e-06
-4.26868e-06;0.00035922;-6.03279e-06
-4.2681e-06;0.000232952;-6.03182e-06
-4.26696e-06;0.000333907;-6.03084e-06
-4.2662e-06;0.000302391;-6.02986e-06
-4.26544e-06;0.00048683;-6.02889e-06
-4.26451e-06;0.000302801;-6.02791e-06
-4.26335e-06;0.000275532;-6.02693e-06
-4.26252e-06;0.000461088;-6.02596e-06
-4.2616e-06;0.000342848;-6.02498e-06
-4.2608e-06;0.000367006;-6.024e-06
-4.25979e-06;0.000381852;-6.02303e-06
-4.25897e-06;0.000460064;-6.02205e-06
-4.25829e-06;0.000354135;-6.02107e-06
-4.2575e-06;0.000478951;-6.0201e-06
-4.2563e-06;0.000371439;-6.01912e-06
-4.25559e-06;0.000192439;-6.01814e-06
-4.25471e-06;0.000396827;-6.01717e-06
-4.25378e-06;0.000284081;-6.01619e-06
-4.25314e-06;0.000353558;-6.01521e-06
-4.25193e-06;0.000349144;-6.01424e-06
-4.25138e-06;0.000355812;-6.01326e-06
-4.25044e-06;0.000165096;-6.01228e-06
-4.24928e-06;0.000310065;-6.01131e-06
-4.24854e-06;0.000229599;-6.01033e-06
-4.24778e-06;0.000267075;-6.00935e-06
-4.24704e-06;0.000377158;-6.00838e-06
-4.24609e-06;0.000345344;-6.0074e-06
-4.24508e-06;0.000385391;-6.00642e-06
-4.24423e-06;0.000402639;-6.00545e-06
-4.24339e-06;0.000281101;-6.00447e-06
-4.24272e-06;0.000233194;-6.00349e-06
-4.24212e-06;0.000320924;-6.00252e-06
-4.2409e-06;0.000172621;-6.00154e-06
-4.24003e-06;0.00032681;-6.00056e-06
-4.23909e-06;0.000243867;-5.99959e-06
-4.23818e-06;0.00031651;-5.99861e-06
-4.23721e-06;0.000393474;-5.99763e-06
-4.23659e-06;0.000365349;-5.99666e-06
-4.23546e-06;0.00036425;-5.99568e-06
-4.23464e-06;0.000285497;-5.9947e-06
-4.23358e-06;0.000331523;-5.99373e-06
-4.23275e-06;0.000263369;-5.99275e-06
-4.23176e-06;0.0003473;-5.99177e-06
-4.23063e-06;0.000395561;-5.99079e-06
-4.23002e-06;0.000317739;-5.98982e-06
-4.22881e-06;0.000356892;-5.98884e-06
-4.22801e-06;0.000335658;-5.98786e-06
-4.22712e-06;0.000417205;-5.98689e-06
-4.22621e-06;0.000304123;-5.98591e-06
-4.2253e-06;0.000326252;-5.98493e-06
-4.22486e-06;0.00034743;-5.98396e-06
-4.22362e-06;0.000307122;-5.98298e-06
-4.22264e-06;0.00033698;-5.982e-06
-4.22209e-06;0.000374606;-5.98103e-06
-4.22063e-06;0.000409922;-5.98005e-06
-4.2199e-06;0.000461368;-5.97907e-06
-4.21931e-06;0.000498956;-5.9781e-06
-4.21835e-06;0.000547813;-5.97712e-06
-4.21757e-06;0.000468185;-5.97614e-06
-4.21649e-06;0.000436204;-5.97517e-06
-4.2157e-06;0.000569625;-5.97419e-06
-4.21479e-06;0.000551725;-5.97321e-06
-4.21373e-06;0.000552991;-5.97224e-06
-4.21277e-06;0.000606878;-5.97126e-06
-4.21183e-06;0.000536172;-5.97028e-06
-4.21087e-06;0.000591082;-5.96931e-06
-4.21014e-06;0.000597993;-5.96833e-06
-4.20926e-06;0.000454048;-5.96735e-06
-4.20828e-06;0.000608889;-5.96638e-06
-4.20758e-06;0.000598887;-5.9654e-06
-4.20631e-06;0.00054921;-5.96442e-06
-4.20542e-06;0.00046513;-5.96345e-06
-4.20452e-06;0.00049307;-5.96247e-06
-4.20361e-06;0.000551445;-5.96149e-06
-4.20247e-06;0.000523934;-5.96052e-06
-4.20188e-06;0.000579329;-5.95954e-06
-4.20081e-06;0.000540456;-5.95856e-06
-4.19978e-06;0.000521028;-5.95759e-06
-4.19903e-06;0.00057335;-5.95661e-06
-4.19802e-06;0.000454867;-5.95563e-06
-4.19706e-06;0.000497745;-5.95466e-06
-4.19649e-06;0.00050013;-5.95368e-06
-4.19557e-06;0.000415398;-5.9527e-06
-4.19462e-06;0.000456097;-5.95173e-06
-4.19377e-06;0.000418955;-5.95075e-06
-4.19272e-06;0.000334466;-5.94977e-06
-4.19183e-06;0.000456655;-5.9488e-06
-4.19095e-06;0.000409121;-5.94782e-06
-4.1901e-06;0.00049171;-5.94684e-06
-4.18927e-06;0.000522221;-5.94587e-06
-4.18827e-06;0.000370303;-5.94489e-06
-4.1873e-06;0.000441493;-5.94391e-06
-4.18652e-06;0.000624349;-5.94294e-06
-4.18549e-06;0.000416255;-5.94196e-06
-4.18478e-06;0.000347877;-5.94098e-06
-4.18366e-06;0.000341861;-5.94001e-06
-4.18303e-06;0.000611292;-5.93903e-06
-4.18191e-06;0.000334168;-5.93805e-06
-4.18111e-06;0.000416124;-5.93708e-06
-4.17997e-06;0.000554183;-5.9361e-06
-4.17911e-06;0.000542672;-5.93512e-06
-4.17842e-06;0.000695297;-5.93415e-06
-4.17713e-06;0.000648936;-5.93317e-06
-4.17612e-06;0.000470197;-5.93219e-06
-4.17558e-06;0.000432739;-5.93122e-06
-4.17442e-06;0.000521103;-5.93024e-06
-4.17356e-06;0.000540679;-5.92926e-06
-4.17291e-06;0.000559306;-5.92829e-06
-4.17161e-06;0.000609318;-5.92731e-06
-4.17061e-06;0.000614161;-5.92633e-06
-4.16956e-06;0.000605108;-5.92535e-06
-4.16882e-06;0.000647409;-5.92438e-06
-4.16777e-06;0.000595627;-5.9234e-06
-4.16704e-06;0.000629285;-5.92242e-06
-4.16608e-06;0.000606859;-5.92145e-06
-4.16529e-06;0.00065024;-5.92047e-06
-4.16422e-06;0.000783196;-5.91949e-06
