#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=3
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6457
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.37653e-06;-2.81911e-05;-6.15e-06
-4.37613e-06;-6.02845e-05;-6.14902e-06
-4.37545e-06;-3.93949e-06;-6.14805e-06
-4.37472e-06;-5.72111e-05;-6.14707e-06
-4.37409e-06;0.000163959;-6.14609e-06
-4.37303e-06;-7.31368e-05;-6.14512e-06
-4.37229e-06;-6.9011e-06;-6.14414e-06
-4.37174e-06;7.22241e-05;-6.14316e-06
-4.37052e-06;0.000137677;-6.14219e-06
-4.37011e-06;4.43403e-05;-6.14121e-06
-4.36956e-06;-7.60891e-06;-6.14023e-06
-4.36836e-06;9.98098e-05;-6.13926e-06
-4.36749e-06;3.61819e-05;-6.13828e-06
-4.36688e-06;-0.000112141;-6.1373e-06
-4.36577e-06;-0.000191433;-6.13633e-06
-4.36527e-06;5.49946e-05;-6.13535e-06
-4.36424e-06;-3.19723e-05;-6.13437e-06
-4.36353e-06;4.96395e-06;-6.1334e-06
-4.36257e-06;7.6266e-05;-6.13242e-06
-4.36145e-06;5.95767e-05;-6.13144e-06
-4.36084e-06;-2.74647e-05;-6.13047e-06
-4.36022e-06;-4.65941e-05;-6.12949e-06
-4.35901e-06;4.56069e-05;-6.12851e-06
-4.35849e-06;5.66524e-05;-6.12754e-06
-4.35749e-06;0.000112178;-6.12656e-06
-4.35652e-06;8.24314e-05;-6.12558e-06
-4.3557e-06;0.000222446;-6.12461e-06
-4.35491e-06;0.000156099;-6.12363e-06
-4.354e-06;4.31109e-05;-6.12265e-06
-4.35301e-06;7.47852e-06;-6.12168e-06
-4.3524e-06;0.000117598;-6.1207e-06
-4.35178e-06;2.65148e-05;-6.11972e-06
-4.35109e-06;0.000210768;-6.11875e-06
-4.35e-06;0.000185734;-6.11777e-06
-4.34914e-06;-1.08499e-05;-6.11679e-06
-4.34835e-06;0.000217436;-6.11582e-06
-4.34753e-06;8.22637e-05;-6.11484e-06
-4.34689e-06;0.00014591;-6.11386e-06
-4.34602e-06;0.000260854;-6.11289e-06
-4.34491e-06;0.000161668;-6.11191e-06
-4.34432e-06;0.000182474;-6.11094e-06
-4.34357e-06;0.000127489;-6.10996e-06
-4.34255e-06;0.000158353;-6.10898e-06
-4.34204e-06;0.000260165;-6.10801e-06
-4.34106e-06;0.000285497;-6.10703e-06
-4.33995e-06;0.000187242;-6.10605e-06
-4.33917e-06;0.000257092;-6.10508e-06
-4.33851e-06;0.00014781;-6.1041e-06
-4.3377e-06;0.000196686;-6.10312e-06
-4.3369e-06;9.33278e-05;-6.10215e-06
-4.33603e-06;8.95839e-05;-6.10117e-06
-4.33507e-06;7.39004e-05;-6.10019e-06
-4.33463e-06;0.000235597;-6.09922e-06
-4.33346e-06;0.000130823;-6.09824e-06
-4.33275e-06;-4.08571e-05;-6.09726e-06
-4.33178e-06;1.07102e-06;-6.09629e-06
-4.33087e-06;1.84309e-05;-6.09531e-06
-4.33004e-06;0.000172807;-6.09433e-06
-4.32922e-06;3.21399e-05;-6.09336e-06
-4.32843e-06;0.000161557;-6.09238e-06
-4.32735e-06;0.000252789;-6.0914e-06
-4.32683e-06;0.000347747;-6.09043e-06
-4.32585e-06;1.81329e-05;-6.08945e-06
-4.32485e-06;0.000156602;-6.08847e-06
-4.32411e-06;0.000201473;-6.0875e-06
-4.32325e-06;0.00024111;-6.08652e-06
-4.32233e-06;0.000318335;-6.08554e-06
-4.32165e-06;0.000163009;-6.08457e-06
-4.32035e-06;0.000160811;-6.08359e-06
-4.31962e-06;0.000152411;-6.08261e-06
-4.31897e-06;0.000235764;-6.08164e-06
-4.31793e-06;0.000320552;-6.08066e-06
-4.31724e-06;0.00016612;-6.07968e-06
-4.31639e-06;0.000148946;-6.07871e-06
-4.31555e-06;9.14652e-05;-6.07773e-06
-4.31447e-06;9.81148e-05;-6.07675e-06
-4.31348e-06;0.000133021;-6.07578e-06
-4.31258e-06;0.000295108;-6.0748e-06
-4.31183e-06;0.000110054;-6.07382e-06
-4.31089e-06;0.000251057;-6.07285e-06
-4.31021e-06;0.000147475;-6.07187e-06
-4.30943e-06;7.4124e-05;-6.07089e-06
-4.30867e-06;0.000192383;-6.06992e-06
-4.30781e-06;0.000194153;-6.06894e-06
-4.30692e-06;0.000115773;-6.06796e-06
-4.30573e-06;2.44472e-05;-6.06699e-06
-4.30513e-06;0.000183592;-6.06601e-06
-4.30438e-06;0.000150679;-6.06503e-06
-4.30346e-06;0.000127973;-6.06406e-06
-4.30255e-06;0.000132481;-6.06308e-06
-4.30176e-06;0.00012855;-6.0621e-06
-4.30101e-06;0.000262046;-6.06113e-06
-4.30017e-06;7.038e-05;-6.06015e-06
-4.29931e-06;0.000183051;-6.05917e-06
-4.29821e-06;2.83215e-05;-6.0582e-06
-4.29741e-06;0.000159768;-6.05722e-06
-4.29678e-06;4.84008e-05;-6.05624e-06
-4.29569e-06;0.000104187;-6.05527e-06
-4.2952e-06;0.000229487;-6.05429e-06
-4.29405e-06;0.000196947;-6.05331e-06
-4.29299e-06;0.000107223;-6.05234e-06
-4.29244e-06;1.20793e-05;-6.05136e-06
-4.29125e-06;5.45103e-05;-6.05038e-06
-4.29071e-06;0.000236006;-6.04941e-06
-4.29e-06;0.000359574;-6.04843e-06
-4.28874e-06;0.000387738;-6.04745e-06
-4.28833e-06;0.000386043;-6.04648e-06
-4.28703e-06;0.00031448;-6.0455e-06
-4.28629e-06;0.000297865;-6.04452e-06
-4.28572e-06;0.000264375;-6.04355e-06
-4.28485e-06;0.000296803;-6.04257e-06
-4.28394e-06;0.00025888;-6.04159e-06
-4.28336e-06;0.000188043;-6.04062e-06
-4.28217e-06;-4.75906e-06;-6.03964e-06
-4.2813e-06;0.000162711;-6.03866e-06
-4.28074e-06;0.000199685;-6.03769e-06
-4.27957e-06;0.0001786;-6.03671e-06
-4.27858e-06;0.000300864;-6.03574e-06
-4.27785e-06;0.000399901;-6.03476e-06
-4.27678e-06;0.000344524;-6.03378e-06
-4.27557e-06;0.00030051;-6.03281e-06
-4.27525e-06;0.000362685;-6.03183e-06
-4.27423e-06;0.000350727;-6.03085e-06
-4.27358e-06;0.000252714;-6.02988e-06
