#Filename=F:\pcameron\3_Experimental\AFM\311024\Image00023.nid
#Date=31-10-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.128966N/m
#Deflection-Sensitivity=6.38e-09m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=0
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=8282
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-4.90073e-06;0.000780287;-6.15e-06
-4.90049e-06;0.000743649;-6.14921e-06
-4.89976e-06;0.000658303;-6.14842e-06
-4.89921e-06;0.000765405;-6.14762e-06
-4.89844e-06;0.000862113;-6.14683e-06
-4.89774e-06;0.000838867;-6.14604e-06
-4.89727e-06;0.000779282;-6.14525e-06
-4.89645e-06;0.000701591;-6.14446e-06
-4.89579e-06;0.000834509;-6.14367e-06
-4.89512e-06;0.000768944;-6.14287e-06
-4.89443e-06;0.000912181;-6.14208e-06
-4.89359e-06;0.000790569;-6.14129e-06
-4.89291e-06;0.000881689;-6.1405e-06
-4.89218e-06;0.000759556;-6.13971e-06
-4.89161e-06;0.000846411;-6.13892e-06
-4.89112e-06;0.000611011;-6.13812e-06
-4.89023e-06;0.000870271;-6.13733e-06
-4.8895e-06;0.000883142;-6.13654e-06
-4.88859e-06;0.000824693;-6.13575e-06
-4.88799e-06;0.000845089;-6.13496e-06
-4.88736e-06;0.00095884;-6.13417e-06
-4.88658e-06;0.00102865;-6.13337e-06
-4.88606e-06;0.000931161;-6.13258e-06
-4.88526e-06;0.000775109;-6.13179e-06
-4.88453e-06;0.000830318;-6.131e-06
-4.88376e-06;0.000824655;-6.13021e-06
-4.88308e-06;0.000846318;-6.12941e-06
-4.88253e-06;0.000807705;-6.12862e-06
-4.88171e-06;0.000826034;-6.12783e-06
-4.88094e-06;0.00076289;-6.12704e-06
-4.88007e-06;0.000623639;-6.12625e-06
-4.87945e-06;0.000801801;-6.12546e-06
-4.87871e-06;0.000788185;-6.12466e-06
-4.87783e-06;0.000697903;-6.12387e-06
-4.87759e-06;0.000593744;-6.12308e-06
-4.87682e-06;0.000623435;-6.12229e-06
-4.87615e-06;0.000646792;-6.1215e-06
-4.87536e-06;0.000572342;-6.12071e-06
-4.87468e-06;0.000666871;-6.11991e-06
-4.87387e-06;0.000721186;-6.11912e-06
-4.87327e-06;0.000723142;-6.11833e-06
-4.87243e-06;0.000583518;-6.11754e-06
-4.87159e-06;0.00057264;-6.11675e-06
-4.87075e-06;0.000555746;-6.11595e-06
-4.86996e-06;0.000686131;-6.11516e-06
-4.86922e-06;0.000419848;-6.11437e-06
-4.86882e-06;0.000662084;-6.11358e-06
-4.8682e-06;0.000513632;-6.11279e-06
-4.86755e-06;0.000485599;-6.112e-06
-4.86658e-06;0.00049752;-6.1112e-06
-4.86621e-06;0.000607137;-6.11041e-06
-4.86539e-06;0.00055461;-6.10962e-06
-4.86491e-06;0.000526503;-6.10883e-06
-4.86398e-06;0.000440822;-6.10804e-06
