#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=3
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-1.83861e-06;0.000307617;-3.85e-06
-1.83861e-06;0.000264515;-3.84902e-06
-1.83778e-06;0.000310634;-3.84805e-06
-1.83701e-06;0.000392293;-3.84707e-06
-1.83635e-06;0.000535977;-3.84609e-06
-1.83557e-06;0.000416842;-3.84512e-06
-1.83459e-06;0.000374039;-3.84414e-06
-1.83396e-06;0.000198987;-3.84316e-06
-1.83302e-06;0.000158121;-3.84219e-06
-1.83222e-06;0.000214056;-3.84121e-06
-1.83131e-06;0.000203756;-3.84023e-06
-1.8304e-06;0.000358169;-3.83926e-06
-1.82967e-06;0.000246466;-3.83828e-06
-1.82894e-06;0.000272394;-3.8373e-06
-1.82799e-06;0.000284818;-3.83633e-06
-1.82716e-06;0.000154079;-3.83535e-06
-1.82648e-06;0.000467767;-3.83437e-06
-1.82556e-06;0.000276697;-3.8334e-06
-1.8248e-06;0.000340269;-3.83242e-06
-1.82385e-06;0.000251104;-3.83144e-06
-1.82297e-06;0.000342057;-3.83047e-06
-1.8225e-06;0.000116286;-3.82949e-06
-1.82188e-06;0.000377596;-3.82851e-06
-1.82081e-06;0.000461155;-3.82754e-06
-1.82009e-06;0.000638516;-3.82656e-06
-1.81928e-06;0.000375659;-3.82558e-06
-1.81856e-06;0.000555647;-3.82461e-06
-1.81787e-06;0.00042636;-3.82363e-06
-1.8171e-06;0.000209325;-3.82265e-06
-1.8161e-06;0.00040846;-3.82168e-06
-1.81521e-06;0.000358094;-3.8207e-06
-1.81435e-06;0.000425913;-3.81972e-06
-1.81344e-06;0.00056319;-3.81875e-06
-1.81277e-06;0.000355561;-3.81777e-06
-1.8119e-06;0.00059642;-3.81679e-06
-1.81127e-06;0.00075521;-3.81582e-06
-1.81047e-06;0.000537486;-3.81484e-06
