
// =========================================================================================================
// 2024-10-24, 14:40:37
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           0.00000         999.97100         999.99500          15.29800          -0.95130          -0.02893
           0.10000         999.97100         999.99400          15.29800          -0.82380          -0.04803
           0.20000         999.97300         999.99400          24.72600           1.66252          -0.05440
           0.30000         999.97400         999.99500         235.96200           1.02500          -0.04803
           0.40000         999.97700         999.99500         342.03400           1.79002          -0.08624
           0.50000         999.97100         999.99500         415.29000          -0.18628           0.06023
           0.60000         996.89300         997.15700         415.30000           0.19623          -0.04166
           0.70000         992.42800         992.92300         415.30000          -0.44129          -0.02893
           0.80000         987.63300         987.98500         415.29900           1.40751           0.07934
           0.90000         985.48800         985.92100         415.30000           0.13248           0.07934
           1.00000         983.83900         984.25400         415.29900          -0.25003          -0.07987
           1.10000         978.80800         979.28300         415.29900           1.21625           0.09207
           1.20000         974.45900         975.08600         415.30000           1.08875          -0.00982
           1.30000         969.56600         970.62700         415.30000           0.06872          -0.08624
           1.40000         967.39400         968.46400         415.30000           0.00497           0.02839
           1.50000         965.22300         965.83700         415.30000           0.25998          -0.00982
           1.60000         960.97900         961.40600         415.29900           0.00497          -0.09261
           1.70000         955.94400         956.53300         415.30000           0.00497           0.06660
           1.80000         954.31600         954.34200         415.30000           0.06872           0.04750
           1.90000         951.61500         952.17500         415.29900           0.32373          -0.06714
           2.00000         947.40600         947.96500         415.30000           0.32373           0.02202
           2.10000         942.37200         942.96200         415.29900           1.21625           0.06660
           2.20000         938.55500         938.68900         415.29900           0.06872          -0.04803
           2.30000         936.38500         936.45600         415.29900          -0.12253          -0.11171
           2.40000         934.30800         934.28400         415.30000          -0.31379          -0.01619
           2.50000         929.31500         929.43700         415.29900           0.51499          -0.06714
           2.60000         924.56900         925.07600         415.30000           0.45123          -0.02893
           2.70000         922.93200         922.99800         415.30000           0.32373          -0.07350
           2.80000         920.08000         920.85900         415.29900           0.00497          -0.04166
           2.90000         915.71100         915.91300         415.30000           0.00497          -0.05440
           3.00000         911.48400         912.18900         415.30000          -0.12253          -0.06077
           3.10000         906.49900         907.21000         415.30000           0.19623          -0.06714
           3.20000         904.88100         905.10800         415.30000           1.08875           0.04113
           3.30000         902.18100         902.98400         415.30000           0.51499           0.00292
           3.40000         897.23900         897.99100         415.30000           0.57874           0.07297
           3.50000         892.87400         893.71700         415.30000           0.57874          -0.07350
           3.60000         888.64600         888.87300         415.29900           1.28001           0.09207
           3.70000         886.49800         886.76500         415.30000           0.13248           0.00292
           3.80000         883.63500         884.47500         415.30000           0.64249           0.00292
           3.90000         879.79800         880.11400         415.30000           1.40751           0.05386
           4.00000         875.50100         875.90700         415.30000           1.02500           0.02839
           4.10000         873.41000         873.62900         415.29900          -0.12253           0.03476
           4.20000         870.56200         871.45900         415.30000          -0.12253          -0.02256
           4.30000         866.21900         866.64000         415.30000           1.47126           0.05386
           4.40000         861.33100         862.23900         415.29900           0.64249           0.04750
           4.50000         857.52700         857.37400         415.29900           0.64249          -0.02893
           4.60000         854.76800         855.76900         415.29900           1.15250           0.01565
