
// =========================================================================================================
// 2024-10-24, 14:45:56
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           0.00000           0.06300           0.00300       -3796.83200          -0.39118           0.07198
           0.01000           0.06300           0.00300       -3796.83200          -0.39118           0.08471
           0.02000           0.06200           0.00300       -3796.83200          -1.15620          -0.06813
           0.03000           0.06300           0.00300       -3796.83200          -0.39118           0.05924
           0.04000           0.06300           0.00300       -3796.83200          -0.39118          -0.02355
           0.05000           0.06300           0.00200       -3796.83200          -0.90119           0.01466
           0.06000           0.06300           0.00200       -3796.83200          -0.51868          -0.01718
           0.07000           0.06200           0.00200       -3796.83200          -2.36748          -0.03629
           0.08000           0.06300           0.00300       -3796.83200          -0.39118           0.05287
           0.09000           0.06300           0.00300       -3796.83200          -0.51868           0.09108
           0.10000           0.06200           0.00200       -3796.83200           0.05508           0.02740
           0.11000           0.06300           0.00200       -3796.83200          -2.23998          -0.00445
           0.12000           0.06200           0.00200       -3796.83200          -0.58244           0.00829
           0.13000           0.06300           0.00200       -3796.83200          -0.77369          -0.01081
           0.14000           0.06200           0.00200       -3796.83200          -1.98497          -0.06813
           0.15000           0.06200           0.00200       -3796.83200          -0.58244           0.05287
           0.16000           0.06200           0.00200       -3796.83200          -1.34746           0.07834
           0.17000           0.06200           0.00200       -3796.83200          -1.79372          -0.05539
           0.18000           0.06300           0.00200       -3796.83200          -0.51868           0.07834
           0.19000           0.06300           0.00200       -3796.83200          -0.32743          -0.04266
           0.20000           0.06200           0.00200       -3796.83200          -0.64619           0.05924
           0.21000           0.06300           0.00100       -3796.83200          -1.98497          -0.01081
           0.22000           0.06300           0.00200       -3796.83200          -0.51868           0.07198
           0.23000           0.06200           0.00200       -3796.83200          -2.11248          -0.08723
           0.24000           0.06200           0.00100       -3796.83200          -0.19993           0.04013
           0.25000           0.06200           0.00200       -3796.83200          -1.53871          -0.08723
           0.26000           0.06200           0.00200       -3796.83200          -1.92122          -0.04902
           0.27000           0.06200           0.00200       -3796.83200          -0.39118           0.09745
           0.28000           0.06300           0.00200       -3796.83200           0.11883           0.03377
           0.29000           0.06300           0.00200       -3796.83200          -1.85747          -0.04902
           0.30000           0.06300           0.00200       -3796.83200          -1.60246          -0.01718
           0.31000           0.06300           0.00200       -3796.83200          -1.02870           0.02103
           0.32000           0.06300           0.00200       -3796.83200          -1.53871          -0.02992
           0.33000           0.06200           0.00100       -3796.83200          -1.41121          -0.02355
           0.34000           0.06200           0.00200       -3796.83200          -0.26368          -0.00445
           0.35000           0.06200           0.00200       -3796.83200          -1.92122          -0.06813
           0.36000           0.06300           0.00100       -3796.83200          -1.15620          -0.04902
           0.37000           0.06200           0.00100       -3796.83200          -1.60246          -0.04902
           0.38000           0.06200           0.00100       -3796.83200          -0.90119          -0.04902
           0.39000           0.06200           0.00200       -3796.83200          -0.70994           0.06561
           0.40000           0.06300           0.00200       -3796.83200          -2.11248          -0.08087
           0.41000           0.06300           0.00200       -3796.83200          -1.47496           0.00192
           0.42000           0.06300           0.00300       -3796.83200          -0.64619           0.09108
           0.43000           0.06300           0.00200       -3796.83200          -1.21995          -0.02992
           0.44000           0.06300           0.00300       -3796.83200          -1.85747          -0.08087
           0.45000           0.06300           0.00200       -3796.83200          -1.72997          -0.05539
           0.46000           0.06300           0.00100       -3796.83200          -0.90119           0.05287
           0.47000           0.06300           0.00200       -3796.83200          -1.60246          -0.04266
           0.48000           0.06300           0.00200       -3796.83200          -0.83744           0.05924
           0.49000           0.06300           0.00200       -3796.83200          -1.72997           0.01466
           0.50000           0.06300           0.00200       -3796.83200          -0.96495           0.04013
           0.51000           0.06300           0.00200       -3796.83200          -2.36748          -0.01718
           0.52000           0.06300           0.00200       -3796.83200          -1.85747          -0.08087
           0.53000           0.06200           0.00300       -3796.83200          -0.90119           0.04013
           0.54000           0.06300           0.00200       -3796.83200          -0.70994          -0.02992
           0.55000           0.06300           0.00200       -3796.83200          -1.60246           0.04013
           0.56000           0.06300           0.00300       -3796.83200          -0.58244          -0.01718
           0.57000           0.06200           0.00200       -3796.83200          -1.15620          -0.00445
           0.58000           0.06200           0.00200       -3796.83200          -0.70994           0.02103
           0.59000           0.06200           0.00200       -3796.83300          -1.79372           0.01466
           0.60000           0.06200           0.00200       -3796.83200          -1.47496          -0.09360
           0.61000           0.06200           0.00200       -3796.83200          -1.92122          -0.05539
           0.62000           0.06300           0.00300       -3796.83200          -0.64619           0.05924
           0.63000           0.06300           0.00200       -3796.83200          -0.83744          -0.01718
           0.64000           0.06300           0.00200       -3796.83200          -0.77369           0.08471
           0.65000           0.06300           0.00200       -3796.83200          -0.77369           0.05287
           0.66000           0.06300           0.00300       -3796.83200          -1.21995          -0.06813
           0.67000           0.06300           0.00300       -3796.83200          -0.83744           0.05287
           0.68000           0.06300           0.00300       -3796.83200          -0.51868           0.01466
           0.69000           0.06200           0.00300       -3796.83200          -1.21995          -0.08087
           0.70000           0.06200           0.00300       -3796.83200          -0.45493           0.05287
           0.71000           0.06200           0.00300       -3796.83200          -2.62249          -0.06176
           0.72000           0.06200           0.00300       -3796.83200          -1.02870          -0.06813
