#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=5
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6535
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.37106e-06;6.60773e-05;-6.15e-06
-4.37068e-06;0.000171224;-6.14902e-06
-4.36985e-06;9.10368e-05;-6.14805e-06
-4.36905e-06;0.000163401;-6.14707e-06
-4.36809e-06;1.80956e-05;-6.14609e-06
-4.36766e-06;2.82191e-06;-6.14512e-06
-4.36667e-06;1.36066e-05;-6.14414e-06
-4.3661e-06;8.28598e-05;-6.14316e-06
-4.36536e-06;-3.54368e-05;-6.14219e-06
-4.3645e-06;7.04918e-05;-6.14121e-06
-4.36376e-06;6.47921e-05;-6.14023e-06
-4.36301e-06;5.29829e-05;-6.13926e-06
-4.36218e-06;-1.59722e-05;-6.13828e-06
-4.36135e-06;3.92925e-05;-6.1373e-06
-4.36062e-06;8.98819e-05;-6.13633e-06
-4.35961e-06;5.73602e-05;-6.13535e-06
-4.35883e-06;9.32254e-06;-6.13437e-06
-4.35783e-06;-4.5253e-05;-6.1334e-06
-4.3571e-06;-6.92438e-05;-6.13242e-06
-4.35611e-06;3.48967e-05;-6.13144e-06
-4.35535e-06;-6.23893e-05;-6.13047e-06
-4.35442e-06;0.000164481;-6.12949e-06
-4.35379e-06;0.000144644;-6.12851e-06
-4.3528e-06;0.000152411;-6.12754e-06
-4.35172e-06;3.81004e-05;-6.12656e-06
-4.35131e-06;0.000126651;-6.12558e-06
-4.3505e-06;0.000173217;-6.12461e-06
-4.34973e-06;7.75326e-05;-6.12363e-06
-4.34896e-06;3.4729e-05;-6.12265e-06
-4.34813e-06;5.39236e-06;-6.12168e-06
-4.34713e-06;8.99937e-05;-6.1207e-06
-4.34641e-06;0.000175228;-6.11972e-06
-4.34548e-06;2.72039e-05;-6.11875e-06
-4.34474e-06;0.000140043;-6.11777e-06
-4.34366e-06;0.000194842;-6.11679e-06
-4.34296e-06;2.3162e-05;-6.11582e-06
-4.34231e-06;0.000101468;-6.11484e-06
-4.3416e-06;0.000192793;-6.11386e-06
-4.34049e-06;0.000140825;-6.11289e-06
-4.33974e-06;0.000124061;-6.11191e-06
-4.33859e-06;9.1726e-05;-6.11093e-06
-4.33815e-06;7.70483e-05;-6.10996e-06
-4.33729e-06;0.000149542;-6.10898e-06
-4.33634e-06;1.90455e-05;-6.108e-06
-4.33573e-06;1.48918e-05;-6.10703e-06
-4.33441e-06;5.47711e-05;-6.10605e-06
-4.33373e-06;-2.44845e-05;-6.10507e-06
-4.33279e-06;8.35489e-05;-6.1041e-06
-4.33191e-06;0.00018009;-6.10312e-06
-4.33135e-06;0.000156527;-6.10214e-06
-4.33034e-06;0.000172248;-6.10117e-06
-4.32946e-06;0.000156118;-6.10019e-06
-4.32866e-06;0.00018266;-6.09921e-06
-4.32791e-06;0.000152132;-6.09824e-06
-4.32683e-06;0.00012408;-6.09726e-06
-4.32606e-06;0.000117579;-6.09628e-06
-4.32548e-06;7.08736e-06;-6.09531e-06
-4.32447e-06;0.000118567;-6.09433e-06
-4.32368e-06;4.2608e-05;-6.09335e-06
-4.32278e-06;0.000106851;-6.09238e-06
-4.322e-06;9.24338e-05;-6.0914e-06
-4.32117e-06;0.000287844;-6.09042e-06
-4.32022e-06;0.000231909;-6.08945e-06
-4.3194e-06;0.000157123;-6.08847e-06
-4.31873e-06;9.35141e-05;-6.08749e-06
-4.31779e-06;0.000177557;-6.08652e-06
-4.31691e-06;0.000206539;-6.08554e-06
-4.31605e-06;9.30671e-05;-6.08456e-06
-4.31524e-06;2.98489e-05;-6.08359e-06
-4.31433e-06;0.000215797;-6.08261e-06
-4.31334e-06;0.000128793;-6.08163e-06
-4.31268e-06;3.97675e-06;-6.08066e-06
-4.31161e-06;8.96584e-05;-6.07968e-06
-4.31095e-06;9.98471e-05;-6.0787e-06
-4.3101e-06;7.22054e-05;-6.07773e-06
-4.30899e-06;8.93231e-05;-6.07675e-06
-4.30856e-06;0.000110948;-6.07577e-06
-4.30739e-06;0.000139168;-6.0748e-06
-4.30671e-06;0.000173682;-6.07382e-06
-4.30593e-06;0.000188062;-6.07284e-06
-4.30484e-06;0.000196462;-6.07186e-06
-4.30438e-06;0.000331951;-6.07089e-06
-4.30349e-06;0.000365702;-6.06991e-06
-4.30242e-06;0.000368031;-6.06893e-06
-4.30189e-06;0.000146748;-6.06796e-06
-4.30087e-06;5.65965e-05;-6.06698e-06
-4.29985e-06;0.000219001;-6.066e-06
-4.29916e-06;0.000204956;-6.06503e-06
-4.29832e-06;9.4343e-06;-6.06405e-06
-4.29735e-06;-3.74671e-05;-6.06307e-06
-4.29688e-06;0.000133691;-6.0621e-06
