#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=2
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-1.86863e-06;-2.24626e-05;-3.85e-06
-1.86839e-06;-2.36361e-05;-3.84902e-06
-1.86778e-06;4.6865e-05;-3.84805e-06
-1.86675e-06;2.74563e-05;-3.84707e-06
-1.86605e-06;0.000172817;-3.84609e-06
-1.86533e-06;6.40386e-05;-3.84512e-06
-1.86452e-06;1.57775e-05;-3.84414e-06
-1.86403e-06;0.000110791;-3.84316e-06
-1.86297e-06;0.000181069;-3.84219e-06
-1.86215e-06;0.000208394;-3.84121e-06
-1.86162e-06;0.000106879;-3.84023e-06
-1.86065e-06;0.000134745;-3.83926e-06
-1.85977e-06;0.000193306;-3.83828e-06
-1.85893e-06;0.000101794;-3.8373e-06
-1.85834e-06;0.000182633;-3.83633e-06
-1.8574e-06;0.000161585;-3.83535e-06
-1.85672e-06;0.000277013;-3.83437e-06
-1.85577e-06;0.000101105;-3.8334e-06
-1.85476e-06;0.000265875;-3.83242e-06
-1.85415e-06;0.000257232;-3.83144e-06
-1.85335e-06;0.000309666;-3.83047e-06
-1.85235e-06;0.0002612;-3.82949e-06
-1.85172e-06;0.000114628;-3.82851e-06
-1.85074e-06;0.000395869;-3.82754e-06
-1.84959e-06;0.000310709;-3.82656e-06
-1.84927e-06;0.000264888;-3.82558e-06
-1.84821e-06;0.000436381;-3.82461e-06
-1.8477e-06;0.000342597;-3.82363e-06
-1.84662e-06;0.000418109;-3.82265e-06
-1.84611e-06;0.000476633;-3.82168e-06
-1.8451e-06;0.000403543;-3.8207e-06
-1.84419e-06;0.000333377;-3.81972e-06
-1.84374e-06;0.00050027;-3.81875e-06
-1.84282e-06;0.000377336;-3.81777e-06
-1.84179e-06;0.000436027;-3.81679e-06
-1.84081e-06;0.000498352;-3.81582e-06
-1.84031e-06;0.000456237;-3.81484e-06
-1.83946e-06;0.000402351;-3.81386e-06
-1.83884e-06;0.000357424;-3.81289e-06
-1.83769e-06;0.000558441;-3.81191e-06
-1.83685e-06;0.000502636;-3.81093e-06
-1.83583e-06;0.000567735;-3.80996e-06
-1.83493e-06;0.00045145;-3.80898e-06
-1.83428e-06;0.000622087;-3.808e-06
-1.83346e-06;0.000604541;-3.80703e-06
-1.83282e-06;0.000716076;-3.80605e-06
-1.83171e-06;0.00059547;-3.80507e-06
-1.83117e-06;0.000734759;-3.8041e-06
-1.83036e-06;0.000529234;-3.80312e-06
-1.82956e-06;0.000815467;-3.80214e-06
-1.82876e-06;0.000746326;-3.80117e-06
-1.82782e-06;0.000696034;-3.80019e-06
-1.82683e-06;0.000817441;-3.79921e-06
-1.82598e-06;0.000901912;-3.79824e-06
-1.82515e-06;0.000713655;-3.79726e-06
-1.82445e-06;0.00076173;-3.79628e-06
-1.82359e-06;0.00105649;-3.79531e-06
-1.82263e-06;0.000908264;-3.79433e-06
-1.82175e-06;0.000827555;-3.79335e-06
-1.82094e-06;0.00109701;-3.79238e-06
-1.82e-06;0.000796598;-3.7914e-06
-1.81923e-06;0.000931063;-3.79042e-06
-1.81823e-06;0.000805483;-3.78945e-06
-1.81735e-06;0.000933391;-3.78847e-06
-1.81659e-06;0.000912697;-3.78749e-06
-1.81593e-06;0.000827276;-3.78652e-06
-1.81487e-06;0.000867546;-3.78554e-06
-1.814e-06;0.00087753;-3.78456e-06
-1.81328e-06;0.00101399;-3.78359e-06
-1.81233e-06;0.000884348;-3.78261e-06
-1.81163e-06;0.00101941;-3.78163e-06
-1.81099e-06;0.00121946;-3.78066e-06
-1.80974e-06;0.000894834;-3.77968e-06
-1.80926e-06;0.0010501;-3.7787e-06
-1.80829e-06;0.00101471;-3.77773e-06
-1.80738e-06;0.00105644;-3.77675e-06
-1.80657e-06;0.000849516;-3.77577e-06
-1.80575e-06;0.000915957;-3.7748e-06
-1.80482e-06;0.000877847;-3.77382e-06
-1.8041e-06;0.0010201;-3.77284e-06
-1.80307e-06;0.00111098;-3.77187e-06
-1.80219e-06;0.000994504;-3.77089e-06
-1.80145e-06;0.000972097;-3.76991e-06
-1.80027e-06;0.00108846;-3.76894e-06
-1.79953e-06;0.00104446;-3.76796e-06
-1.79851e-06;0.00117479;-3.76698e-06
-1.79793e-06;0.00103483;-3.76601e-06
-1.79726e-06;0.00103289;-3.76503e-06
-1.79607e-06;0.000956041;-3.76405e-06
-1.79511e-06;0.0010105;-3.76308e-06
-1.79473e-06;0.00111966;-3.7621e-06
-1.79378e-06;0.00123466;-3.76112e-06
-1.79287e-06;0.0011697;-3.76015e-06
-1.79197e-06;0.00110179;-3.75917e-06
-1.7908e-06;0.00110084;-3.75819e-06
-1.78998e-06;0.00126069;-3.75722e-06
-1.78929e-06;0.00115382;-3.75624e-06
-1.7885e-06;0.00121774;-3.75526e-06
-1.78789e-06;0.00118118;-3.75429e-06
-1.78698e-06;0.00107793;-3.75331e-06
-1.78614e-06;0.00128292;-3.75233e-06
-1.78536e-06;0.00120461;-3.75136e-06
-1.78444e-06;0.00122734;-3.75038e-06
-1.78333e-06;0.0012319;-3.7494e-06
-1.78244e-06;0.00124138;-3.74843e-06
-1.78175e-06;0.00153301;-3.74745e-06
-1.78069e-06;0.00128273;-3.74647e-06
-1.7796e-06;0.00140075;-3.7455e-06
-1.77898e-06;0.00144735;-3.74452e-06
-1.77841e-06;0.00136966;-3.74354e-06
-1.77716e-06;0.00149414;-3.74257e-06
-1.77643e-06;0.00149908;-3.74159e-06
-1.77558e-06;0.00138356;-3.74061e-06
-1.77476e-06;0.00155499;-3.73964e-06
-1.7738e-06;0.00173846;-3.73866e-06
